source,source_id,review_text,posted_at,user_name
booking.com,1,禁煙ルームを予約しましたが、部屋に入るとタバコの臭いが染みついており、空気清浄機も効果がありませんでした。,2026/02/01 8:12,user_001
booking.com,2,夜中に廊下を走る足音や話し声が響き、防音性の低さに驚きました。静かに過ごしたい人には不向きです。,2026/02/01 9:45,user_002
booking.com,3,連泊したのですが、清掃に入ってもらえず、タオル交換だけだったのが不満です。事前に説明が欲しかったです。,2026/02/01 11:03,user_003
booking.com,4,部屋のカーペットに大きなシミがあり、スリッパを脱いで歩くのがためらわれました。清潔感が足りません。,2026/02/01 13:20,user_004
booking.com,5,朝食会場の席が足りず、入口で長時間待たされました。時間の予約制にするなど改善が必要だと思います。,2026/02/01 15:44,user_005
booking.com,6,ドライヤーの風量が弱すぎて、髪を乾かすのに時間がかかりすぎました。設備の見直しをお願いしたいです。,2026/02/01 18:02,user_006
booking.com,7,チェックイン時の説明が早口で聞き取れず、Wi-Fiのパスワードなどを再度確認する手間がかかりました。,2026/02/02 7:31,user_007
booking.com,8,窓からの景色を楽しみにしていたのに、目の前が隣のビルの壁で、日当たりも悪くがっかりしました。,2026/02/02 9:18,user_008
booking.com,9,カードキーの磁気不良で部屋に入れず、フロントと部屋を往復することになり、非常に疲れました。,2026/02/02 10:27,user_009
booking.com,10,部屋の照明スイッチの場所が分かりにくく、就寝時に全部消すのに苦労しました。案内表示が欲しいです。,2026/02/02 12:55,user_010
booking.com,11,シャワーヘッドの汚れが目立ち、メンテナンスが行き届いていないと感じました。細かい部分も見てほしいです。,2026/02/02 14:10,user_011
booking.com,12,フロントスタッフが少なすぎて、電話も呼び出しもなかなか対応してもらえず、人手不足を感じました。,2026/02/02 16:42,user_012
booking.com,13,部屋の時計が止まっており、モーニングコールも設定できませんでした。基本的な備品の確認不足です。,2026/02/02 19:05,user_013
booking.com,14,館内の自動販売機が売り切ればかりで、飲み物を買うためにわざわざ外に出なければなりませんでした。,2026/02/03 8:14,user_014
booking.com,15,枕元にＵＳＢポートがなく、スマートフォンの充電をするのにベッドから離れなければならず不便でした。,2026/02/03 9:22,user_015
booking.com,16,トイレのウォシュレットが故障しており、使用できませんでした。修理中の張り紙もなく不親切だと感じます。,2026/02/03 10:38,user_016
booking.com,17,部屋の隅に埃が溜まっており、テレビの裏なども掃除されていないようでした。衛生面で不安が残ります。,2026/02/03 12:11,user_017
booking.com,18,朝食のパンが乾燥していてパサパサでした。料理の回転が悪く、新鮮なものが提供されていない印象です。,2026/02/03 14:29,user_018
booking.com,19,廊下のカーペットが剥がれかけていて、つまずきそうになりました。安全管理に問題があると思います。,2026/02/03 16:03,user_019
booking.com,20,客室のスリッパが使い捨てではなく、消毒済みかどうかも分からなかったため、履くのに抵抗がありました。,2026/02/03 18:47,user_020
booking.com,21,エレベーター内がカビ臭く、乗っている時間が苦痛でした。換気や芳香剤などの対策をしてほしいです。,2026/02/04 7:56,user_021
booking.com,22,部屋の金庫が壊れていて開きませんでした。セキュリティに関わる設備なのでしっかり点検してほしいです。,2026/02/04 9:34,user_022
booking.com,23,周辺の治安があまり良くないエリアで、夜遅くの外出は少し怖いと感じました。立地選びに失敗しました。,2026/02/04 11:02,user_023
booking.com,24,フロントでの会計時に計算ミスがあり、指摘しなかったら多く支払うところでした。確認を徹底してほしいです。,2026/02/04 13:18,user_024
booking.com,25,部屋の鏡が小さく、位置も高すぎるため、身だしなみを整えるのに非常に使いづらかったです。,2026/02/04 15:40,user_025
booking.com,26,チェックアウト後の荷物預かりをお願いしたところ、スペースがないと断られ、非常に困りました。,2026/02/04 17:55,user_026
booking.com,27,アメニティの歯ブラシが硬すぎて、歯茎を痛めてしまいました。もう少し質の良いものを置いてほしいです。,2026/02/04 19:21,user_027
booking.com,28,部屋のテーブルが小さすぎて、パソコンを置くと飲み物も置けない状態でした。ビジネス利用には不向きです。,2026/02/05 8:09,user_028
booking.com,29,館内着のボタンが取れかけていて、着替える時に気付きました。リネン類の検品をもっとしっかりしてほしいです。,2026/02/05 9:47,user_029
booking.com,30,予約サイトの写真とは全く違う、古い別館のような部屋に通されました。これでは詐欺に近いと感じます。,2026/02/05 11:30,user_030
booking.com,31,大浴場のロッカー鍵が壊れている箇所が多く、空いている場所を探すのに裸で歩き回ることになりました。,2026/02/05 13:12,user_031
booking.com,32,部屋のポットの中に水滴が残っており、洗浄されているのか不安になりました。使う気になれませんでした。,2026/02/05 15:26,user_032
booking.com,33,駐車場への入り口が狭く、大きな車だと擦りそうで怖かったです。事前の案内が必要だと思います。,2026/02/05 17:49,user_033
booking.com,34,夜間のフロント担当者の態度が悪く、何か頼むたびに嫌な顔をされ、不愉快な思いをしました。,2026/02/05 19:58,user_034
booking.com,35,部屋の電話が繋がらず、緊急時にどうすればいいのか不安になりました。設備点検をお願いします。,2026/02/06 8:16,user_035
booking.com,36,カーテンがレースのみで遮光カーテンがなく、朝日で強制的に起こされてしまい、ゆっくり眠れませんでした。,2026/02/06 9:41,user_036
booking.com,37,朝食のコーヒーメーカーが故障しており、スタッフに伝えても対応が遅く、結局飲めませんでした。,2026/02/06 11:23,user_037
booking.com,38,部屋のドアの建付けが悪く、力いっぱい押さないと開きませんでした。女性や高齢者には厳しいと思います。,2026/02/06 13:37,user_038
booking.com,39,館内Wi-Fiのセキュリティ設定がなく、個人情報を扱う通信をするのが怖くて使えませんでした。,2026/02/06 15:50,user_039
